Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB,Source_Module,Is_Local_Variable
110,SIMULATION,print.prt,print_prt,pco%aqu_bsn%m,pco%aqu_bsn%m,unique,3,17,derived_type,pco%aqu_bsn%m,pco%aqu_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
111,SIMULATION,print.prt,print_prt,pco%aqu_bsn%y,pco%aqu_bsn%y,unique,4,17,derived_type,pco%aqu_bsn%y,pco%aqu_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
112,SIMULATION,print.prt,print_prt,pco%aqu_bsn%a,pco%aqu_bsn%a,unique,5,17,derived_type,pco%aqu_bsn%a,pco%aqu_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
113,SIMULATION,print.prt,print_prt,name,name,unique,1,19,character,name,name parameter from in_sim%prt via basin_print_codes_read,yes,text,string,0,999,default,yes,basin_module,y
114,SIMULATION,print.prt,print_prt,pco%res_bsn%d,pco%res_bsn%d,unique,2,19,derived_type,pco%res_bsn%d,pco%res_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
115,SIMULATION,print.prt,print_prt,pco%res_bsn%m,pco%res_bsn%m,unique,3,19,derived_type,pco%res_bsn%m,pco%res_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
116,SIMULATION,print.prt,print_prt,pco%res_bsn%y,pco%res_bsn%y,unique,4,19,derived_type,pco%res_bsn%y,pco%res_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
117,SIMULATION,print.prt,print_prt,pco%res_bsn%a,pco%res_bsn%a,unique,5,19,derived_type,pco%res_bsn%a,pco%res_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
118,SIMULATION,print.prt,print_prt,name,name,unique,1,21,character,name,name parameter from in_sim%prt via basin_print_codes_read,yes,text,string,0,999,default,yes,basin_module,y
119,SIMULATION,print.prt,print_prt,pco%chan_bsn%d,pco%chan_bsn%d,unique,2,21,derived_type,pco%chan_bsn%d,pco%chan_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
120,SIMULATION,print.prt,print_prt,pco%chan_bsn%m,pco%chan_bsn%m,unique,3,21,derived_type,pco%chan_bsn%m,pco%chan_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
121,SIMULATION,print.prt,print_prt,pco%chan_bsn%y,pco%chan_bsn%y,unique,4,21,derived_type,pco%chan_bsn%y,pco%chan_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
122,SIMULATION,print.prt,print_prt,pco%chan_bsn%a,pco%chan_bsn%a,unique,5,21,derived_type,pco%chan_bsn%a,pco%chan_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
123,SIMULATION,print.prt,print_prt,name,name,unique,1,23,character,name,name parameter from in_sim%prt via basin_print_codes_read,yes,text,string,0,999,default,yes,basin_module,y
124,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%d,pco%sd_chan_bsn%d,unique,2,23,derived_type,pco%sd_chan_bsn%d,pco%sd_chan_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
125,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%m,pco%sd_chan_bsn%m,unique,3,23,derived_type,pco%sd_chan_bsn%m,pco%sd_chan_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes,basin_module,n
