category,io_file,line_in_file,position_in_file,component,old_row,new_row
input,rec_pest(i)%filename,4,17,sag,,"{'Line in File': '4', 'Position in File': '17', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'sag', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,18,lag,,"{'Line in File': '4', 'Position in File': '18', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'lag', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,19,grv,,"{'Line in File': '4', 'Position in File': '19', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'grv', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,20,temp,,"{'Line in File': '4', 'Position in File': '20', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'temp', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,3,flo,,"{'Line in File': '4', 'Position in File': '3', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'flo', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,3,hd,"{'Line in File': '4', 'Position in File': '3', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'recall', 'Component': 'hd', 'Type': 'type(hyd_output)', 'Dimensions': 'allocatable', 'Swat_codetype': 'recall'}",
input,rec_pest(i)%filename,4,4,sed,,"{'Line in File': '4', 'Position in File': '4', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'sed', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,5,orgn,,"{'Line in File': '4', 'Position in File': '5', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'orgn', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,6,sedp,,"{'Line in File': '4', 'Position in File': '6', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'sedp', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,7,no3,,"{'Line in File': '4', 'Position in File': '7', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'no3', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,8,solp,,"{'Line in File': '4', 'Position in File': '8', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'solp', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_pest(i)%filename,4,9,chla,,"{'Line in File': '4', 'Position in File': '9', 'Condition': 'case (3)', 'Local (Y/N)': 'N', 'TYPE': 'hd', 'Component': 'chla', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'recall'}"
input,rec_reg.def,4,5,elem_cnt(isp),"{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_regs'}","{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_regs'}"
input,recall.con,3,14,obtyp_out,"{'Line in File': '3', 'Position in File': '14', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtyp_out', 'Type': 'character(len=3)', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '14', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtyp_out', 'Type': 'character(len=3)', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,recall.con,3,15,obtypno_out,"{'Line in File': '3', 'Position in File': '15', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtypno_out', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '15', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'obtypno_out', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,recall.con,3,16,htyp_out,"{'Line in File': '3', 'Position in File': '16', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'htyp_out', 'Type': 'character(len=3)', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '16', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'htyp_out', 'Type': 'character(len=3)', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,recall.con,3,17,frac_out,"{'Line in File': '3', 'Position in File': '17', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'frac_out', 'Type': 'real', 'Dimensions': 'allocatable', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '17', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'frac_out', 'Type': 'real', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'ob'}"
input,res_catunit.def,4,5,elem_cnt(isp),"{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_regs'}","{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_regs'}"
input,res_conds.dat,4,2,scon,"{'Line in File': '4', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'ctbl', 'Component': 'scon', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}",
input,res_conds.dat,4,2,var,,"{'Line in File': '4', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'scon', 'Component': 'var', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,4,3,action,"{'Line in File': '4', 'Position in File': '3', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'ctbl', 'Component': 'action', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}",
input,res_conds.dat,4,3,op,,"{'Line in File': '4', 'Position in File': '3', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'scon', 'Component': 'op', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,4,4,val,,"{'Line in File': '4', 'Position in File': '4', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'scon', 'Component': 'val', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,4,5,action,,"{'Line in File': '4', 'Position in File': '5', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'ctbl', 'Component': 'action', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,6,2,scon,"{'Line in File': '6', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'ctbl', 'Component': 'scon', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}",
input,res_conds.dat,6,2,var,,"{'Line in File': '6', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'scon', 'Component': 'var', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,6,3,action,"{'Line in File': '6', 'Position in File': '3', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'ctbl', 'Component': 'action', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}",
input,res_conds.dat,6,3,op,,"{'Line in File': '6', 'Position in File': '3', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'scon', 'Component': 'op', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,6,4,val,,"{'Line in File': '6', 'Position in File': '4', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'scon', 'Component': 'val', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_conds.dat,6,5,action,,"{'Line in File': '6', 'Position in File': '5', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'ctbl', 'Component': 'action', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'ctbl'}"
input,res_reg.def,4,5,elem_cnt(isp),"{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_regs'}","{'Line in File': '4', 'Position in File': '5', 'Condition': 'if (nspu > 0)', 'Local (Y/N)': 'N', 'TYPE': '-', 'Component': 'elem_cnt(isp)', 'Type': 'integer', 'Dimensions': 'dimension (:), allocatable', 'Swat_codetype': 'in_regs'}"
input,res_rel.dtl,5,1,name,"{'Line in File': '5', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'dtbl_res', 'Component': 'name', 'Type': 'character(len=25)', 'Dimensions': '-', 'Swat_codetype': 'in_cond'}","{'Line in File': '5', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'dtbl_res', 'Component': 'name', 'Type': 'character(len=40)', 'Dimensions': '-', 'Swat_codetype': 'in_cond'}"
input,res_rel.dtl,7,1,cond,"{'Line in File': '7', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'dtbl_res', 'Component': 'cond', 'Type': 'type(conditions_var)', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_cond'}",
input,res_rel.dtl,7,1,var,,"{'Line in File': '7', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'cond', 'Component': 'var', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_cond'}"
input,res_rel.dtl,7,2,alt,"{'Line in File': '7', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'dtbl_res', 'Component': 'alt', 'Type': 'character(len=25)', 'Dimensions': 'allocatable', 'Swat_codetype': 'in_cond'}",
input,res_rel.dtl,7,2,ob,,"{'Line in File': '7', 'Position in File': '2', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'cond', 'Component': 'ob', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_cond'}"
input,res_rel.dtl,7,3,ob_num,,"{'Line in File': '7', 'Position in File': '3', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'cond', 'Component': 'ob_num', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_cond'}"
input,res_rel.dtl,7,4,lim_var,,"{'Line in File': '7', 'Position in File': '4', 'Condition': '-', 'Local (Y/N)': 'N', 'TYPE': 'cond', 'Component': 'lim_var', 'Type': 'unknown', 'Dimensions': '-', 'Swat_codetype': 'in_cond'}"
