input_file,status,procedures_added,procedures_removed,read_sequence_changed,file_schema_changed
rout_unit.rtu,common,,,N,Y
ru_elem_upd,common,,,N,Y
salt_aqu.ini,common,,,N,Y
salt_atmo.cli,common,,,N,Y
salt_channel.ini,common,,,N,Y
salt_fertilizer.frt,common,,,N,Y
salt_hru.ini,common,,salt_hru_aqu_read,Y,Y
salt_irrigation,common,,,N,Y
salt_plants,common,,,N,Y
salt_recall.rec,common,,,N,Y
salt_res,common,,res_read_salt,Y,Y
salt_road,common,,,N,Y
salt_uptake,common,,,N,Y
salt_urban,common,,,N,Y
scen_dtl.upd,common,,,N,Y
scen_lu.dtl,common,,,N,Y
sediment.cha,common,,,N,Y
sediment.res,common,,,N,Y
septic.sep,common,,,N,Y
septic.str,common,,,N,Y
slr(i)%filename,common,,,N,Y
slr.cli,common,,,N,Y
snow.sno,common,,,N,Y
soil_plant.ini,common,,,Y,Y
soils.sol,common,,,N,N
soils_lte.sol,common,,,N,Y
sweep.ops,common,,,N,Y
temperature.cha,common,,,N,Y
tiledrain.str,common,,,N,Y
tillage.til,common,,,N,Y
time.sim,common,,,N,Y
tmp(i)%filename,common,,,N,Y
tmp.cli,common,,,N,Y
topography.hyd,common,,,N,Y
transplant.plt,common,,,N,Y
urban.urb,common,,,N,Y
usgs_annual_head,common,,,N,Y
water_allocation.wro,common,,,Y,Y
water_balance.sft,common,,,N,Y
wb_parms.sft,common,,,N,Y
weather-sta.cli,common,,,N,Y
weather-wgn.cli,common,,,N,Y
weir.res,common,,,N,Y
wetland.wet,common,,,N,Y
wetland.wet_cs,common,,,N,Y
wnd(i)%filename,common,,,N,Y
wnd.cli,common,,,N,Y
