Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
72,SIMULATION,print.prt,print_prt,pco%aqu_bsn%a,pco%aqu_bsn%a,unique,5,10,derived_type,pco%aqu_bsn%a,pco%aqu_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
73,SIMULATION,print.prt,print_prt,pco%res_bsn%d,pco%res_bsn%d,unique,2,11,derived_type,pco%res_bsn%d,pco%res_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
74,SIMULATION,print.prt,print_prt,pco%res_bsn%m,pco%res_bsn%m,unique,3,11,derived_type,pco%res_bsn%m,pco%res_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
75,SIMULATION,print.prt,print_prt,pco%res_bsn%y,pco%res_bsn%y,unique,4,11,derived_type,pco%res_bsn%y,pco%res_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
76,SIMULATION,print.prt,print_prt,pco%res_bsn%a,pco%res_bsn%a,unique,5,11,derived_type,pco%res_bsn%a,pco%res_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
77,SIMULATION,print.prt,print_prt,pco%chan_bsn%d,pco%chan_bsn%d,unique,2,12,derived_type,pco%chan_bsn%d,pco%chan_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
78,SIMULATION,print.prt,print_prt,pco%chan_bsn%m,pco%chan_bsn%m,unique,3,12,derived_type,pco%chan_bsn%m,pco%chan_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
79,SIMULATION,print.prt,print_prt,pco%chan_bsn%y,pco%chan_bsn%y,unique,4,12,derived_type,pco%chan_bsn%y,pco%chan_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
80,SIMULATION,print.prt,print_prt,pco%chan_bsn%a,pco%chan_bsn%a,unique,5,12,derived_type,pco%chan_bsn%a,pco%chan_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
81,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%d,pco%sd_chan_bsn%d,unique,2,13,derived_type,pco%sd_chan_bsn%d,pco%sd_chan_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
82,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%m,pco%sd_chan_bsn%m,unique,3,13,derived_type,pco%sd_chan_bsn%m,pco%sd_chan_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
83,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%y,pco%sd_chan_bsn%y,unique,4,13,derived_type,pco%sd_chan_bsn%y,pco%sd_chan_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
84,SIMULATION,print.prt,print_prt,pco%sd_chan_bsn%a,pco%sd_chan_bsn%a,unique,5,13,derived_type,pco%sd_chan_bsn%a,pco%sd_chan_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
85,SIMULATION,print.prt,print_prt,pco%recall_bsn%d,pco%recall_bsn%d,unique,2,14,derived_type,pco%recall_bsn%d,pco%recall_bsn%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
86,SIMULATION,print.prt,print_prt,pco%recall_bsn%m,pco%recall_bsn%m,unique,3,14,derived_type,pco%recall_bsn%m,pco%recall_bsn%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
87,SIMULATION,print.prt,print_prt,pco%recall_bsn%y,pco%recall_bsn%y,unique,4,14,derived_type,pco%recall_bsn%y,pco%recall_bsn%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
88,SIMULATION,print.prt,print_prt,pco%recall_bsn%a,pco%recall_bsn%a,unique,5,14,derived_type,pco%recall_bsn%a,pco%recall_bsn%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
89,SIMULATION,print.prt,print_prt,pco%wb_reg%d,pco%wb_reg%d,unique,2,15,derived_type,pco%wb_reg%d,pco%wb_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
90,SIMULATION,print.prt,print_prt,pco%wb_reg%m,pco%wb_reg%m,unique,3,15,derived_type,pco%wb_reg%m,pco%wb_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
