input_file,line_in_file,position_in_file,component,old_row,new_row
plants.plt,4,18,t_base,{},"{'Line in File': '4', 'Position in File': '18', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 't_base', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,19,cnyld,{},"{'Line in File': '4', 'Position in File': '19', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'cnyld', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,2,typ,{},"{'Line in File': '4', 'Position in File': '2', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'typ', 'Type': 'character(len=18)', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,20,cpyld,{},"{'Line in File': '4', 'Position in File': '20', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'cpyld', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,21,pltnfr1,{},"{'Line in File': '4', 'Position in File': '21', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pltnfr1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,22,pltnfr2,{},"{'Line in File': '4', 'Position in File': '22', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pltnfr2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,23,pltnfr3,{},"{'Line in File': '4', 'Position in File': '23', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pltnfr3', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,24,pltpfr1,{},"{'Line in File': '4', 'Position in File': '24', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pltpfr1', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,25,pltpfr2,{},"{'Line in File': '4', 'Position in File': '25', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pltpfr2', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
plants.plt,4,26,pltpfr3,{},"{'Line in File': '4', 'Position in File': '26', 'Condition': 'if (bsn_cc%nam1 == 0)', 'Local (Y/N)': 'N', 'TYPE': 'pldb', 'Component': 'pltpfr3', 'Type': 'real', 'Dimensions': '-', 'Swat_codetype': 'in_parmdb'}"
