Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
93,CLIMATE,weather-sta.cli,weather_sta,tmp%long,tmp%long,delimited,6,6,weather_sta,tmp(i)%long,tmp%long parameter from weather-sta.cli via cli_tmeas,no,deg,real,0,999,0,yes
94,CLIMATE,weather-sta.cli,weather_sta,tmp%elev,tmp%elev,delimited,7,7,weather_sta,tmp(i)%elev,tmp%elev parameter from weather-sta.cli via cli_tmeas,no,m,real,0,999,0,yes
95,CLIMATE,weather-sta.cli,weather_sta,iyr,iyr,delimited,8,8,weather_sta,iyr,iyr parameter from weather-sta.cli via cli_tmeas,no,none,integer,1,9999,1,yes
96,CLIMATE,weather-sta.cli,weather_sta,istep,istep,delimited,9,9,weather_sta,istep,istep parameter from weather-sta.cli via cli_tmeas,no,none,string,0,999,default,yes
97,CLIMATE,weather-sta.cli,weather_sta,iyr,iyr,delimited,10,10,weather_sta,iyr,iyr parameter from weather-sta.cli via cli_tmeas,no,none,integer,1,9999,1,yes
98,CLIMATE,weather-sta.cli,weather_sta,istep,istep,delimited,11,11,weather_sta,istep,istep parameter from weather-sta.cli via cli_tmeas,no,none,string,0,999,default,yes
99,CLIMATE,weather-sta.cli,weather_sta,tempx,tempx,delimited,12,12,weather_sta,tempx,tempx parameter from weather-sta.cli via cli_tmeas,no,none,string,0,999,default,yes
100,CLIMATE,weather-sta.cli,weather_sta,tempn,tempn,delimited,13,13,weather_sta,tempn,tempn parameter from weather-sta.cli via cli_tmeas,no,none,string,0,999,default,yes
101,CLIMATE,weather-sta.cli,weather_sta,iyr,iyr,delimited,14,14,weather_sta,iyr,iyr parameter from weather-sta.cli via cli_tmeas,no,none,integer,1,9999,1,yes
102,CLIMATE,weather-sta.cli,weather_sta,istep,istep,delimited,15,15,weather_sta,istep,istep parameter from weather-sta.cli via cli_tmeas,no,none,string,0,999,default,yes
103,CLIMATE,weather-sta.cli,weather_sta,tmp%ts,tmp%ts,delimited,16,16,weather_sta,"tmp(i)%ts(istep,iyrs)",tmp%ts parameter from weather-sta.cli via cli_tmeas,no,degC,real,0,999,0,yes
104,CLIMATE,weather-sta.cli,weather_sta,tmp%ts2,tmp%ts2,delimited,17,17,weather_sta,"tmp(i)%ts2(istep,iyrs)",tmp%ts2 parameter from weather-sta.cli via cli_tmeas,no,degC,real,0,999,0,yes
105,CLIMATE,weather-sta.cli,weather_sta,tmp_n,tmp_n,delimited,18,18,weather_sta,tmp_n(i),tmp_n parameter from weather-sta.cli via cli_tmeas,no,degC,real,0,999,0,yes
106,CLIMATE,weather-sta.cli,weather_sta,tmp%filename,tmp%filename,delimited,19,19,weather_sta,tmp(i)%filename,tmp%filename parameter from weather-sta.cli via cli_tmeas,no,m,real,0,999,0,yes
107,CLIMATE,weather-sta.cli,weather_sta,pcp%nbyr,pcp%nbyr,delimited,20,20,weather_sta,pcp(i)%nbyr,pcp%nbyr parameter from weather-sta.cli via cli_pmeas,no,mm,integer,1,9999,1,yes
108,CLIMATE,weather-sta.cli,weather_sta,pcp%tstep,pcp%tstep,delimited,21,21,weather_sta,pcp(i)%tstep,pcp%tstep parameter from weather-sta.cli via cli_pmeas,no,mm,integer,1,9999,1,yes
109,CLIMATE,weather-sta.cli,weather_sta,pcp%lat,pcp%lat,delimited,22,22,weather_sta,pcp(i)%lat,pcp%lat parameter from weather-sta.cli via cli_pmeas,no,deg,real,0,999,0,yes
110,CLIMATE,weather-sta.cli,weather_sta,pcp%long,pcp%long,delimited,23,23,weather_sta,pcp(i)%long,pcp%long parameter from weather-sta.cli via cli_pmeas,no,deg,real,0,999,0,yes
111,CLIMATE,weather-sta.cli,weather_sta,pcp%elev,pcp%elev,delimited,24,24,weather_sta,pcp(i)%elev,pcp%elev parameter from weather-sta.cli via cli_pmeas,no,m,real,0,999,0,yes
112,CLIMATE,weather-sta.cli,weather_sta,iyr,iyr,delimited,25,25,weather_sta,iyr,iyr parameter from weather-sta.cli via cli_pmeas,no,none,integer,1,9999,1,yes
113,CLIMATE,weather-sta.cli,weather_sta,istep,istep,delimited,26,26,weather_sta,istep,istep parameter from weather-sta.cli via cli_pmeas,no,none,string,0,999,default,yes
114,CLIMATE,weather-sta.cli,weather_sta,iyr,iyr,delimited,27,27,weather_sta,iyr,iyr parameter from weather-sta.cli via cli_pmeas,no,none,integer,1,9999,1,yes
115,CLIMATE,weather-sta.cli,weather_sta,istep,istep,delimited,28,28,weather_sta,istep,istep parameter from weather-sta.cli via cli_pmeas,no,none,string,0,999,default,yes
116,CLIMATE,weather-sta.cli,weather_sta,mo,mo,delimited,29,29,weather_sta,mo,mo parameter from weather-sta.cli via cli_pmeas,no,none,string,0,999,default,yes
117,CLIMATE,weather-sta.cli,weather_sta,day_mo,day_mo,delimited,30,30,weather_sta,day_mo,day_mo parameter from weather-sta.cli via cli_pmeas,no,none,integer,1,9999,1,yes
118,CLIMATE,weather-sta.cli,weather_sta,ihr,ihr,delimited,31,31,weather_sta,ihr,ihr parameter from weather-sta.cli via cli_pmeas,no,none,string,0,999,default,yes
119,CLIMATE,weather-sta.cli,weather_sta,pcp%tss,pcp%tss,delimited,32,32,weather_sta,"pcp(i)%tss(iss,istep,iyrs)",pcp%tss parameter from weather-sta.cli via cli_pmeas,no,mm,real,0,999,0,yes
120,CLIMATE,weather-sta.cli,weather_sta,iyr,iyr,delimited,33,33,weather_sta,iyr,iyr parameter from weather-sta.cli via cli_pmeas,no,none,integer,1,9999,1,yes
121,CLIMATE,weather-sta.cli,weather_sta,istep,istep,delimited,34,34,weather_sta,istep,istep parameter from weather-sta.cli via cli_pmeas,no,none,string,0,999,default,yes
122,CLIMATE,weather-sta.cli,weather_sta,pcp%ts,pcp%ts,delimited,35,35,weather_sta,"pcp(i)%ts(istep,iyrs)",pcp%ts parameter from weather-sta.cli via cli_pmeas,no,mm,real,0,999,0,yes
123,CLIMATE,weather-sta.cli,weather_sta,pcp_n,pcp_n,delimited,36,36,weather_sta,pcp_n(i),pcp_n parameter from weather-sta.cli via cli_pmeas,no,mm,real,0,999,0,yes
124,CLIMATE,weather-sta.cli,weather_sta,pcp%filename,pcp%filename,delimited,37,37,weather_sta,pcp(i)%filename,pcp%filename parameter from weather-sta.cli via cli_pmeas,no,m,real,0,999,0,yes
125,CLIMATE,weather-wgn.cli,weather_wgn,wst%name,wst%name,delimited,1,1,weather_wgn,wst(i)%name,wst%name parameter from weather-wgn.cli via cli_staread,no,none,string,0,999,default,yes
126,CLIMATE,weather-wgn.cli,weather_wgn,wst%wco_c,wst%wco_c,delimited,2,2,weather_wgn,wst(i)%wco_c,wst%wco_c parameter from weather-wgn.cli via cli_staread,no,none,string,0,999,default,yes
127,CLIMATE,weather-wgn.cli,weather_wgn,tmp%nbyr,tmp%nbyr,delimited,3,3,weather_wgn,tmp(i)%nbyr,tmp%nbyr parameter from weather-wgn.cli via cli_tmeas,no,degC,integer,1,9999,1,yes
128,CLIMATE,weather-wgn.cli,weather_wgn,tmp%tstep,tmp%tstep,delimited,4,4,weather_wgn,tmp(i)%tstep,tmp%tstep parameter from weather-wgn.cli via cli_tmeas,no,degC,integer,1,9999,1,yes
129,CLIMATE,weather-wgn.cli,weather_wgn,tmp%lat,tmp%lat,delimited,5,5,weather_wgn,tmp(i)%lat,tmp%lat parameter from weather-wgn.cli via cli_tmeas,no,deg,real,0,999,0,yes
130,CLIMATE,weather-wgn.cli,weather_wgn,tmp%long,tmp%long,delimited,6,6,weather_wgn,tmp(i)%long,tmp%long parameter from weather-wgn.cli via cli_tmeas,no,deg,real,0,999,0,yes
131,CLIMATE,weather-wgn.cli,weather_wgn,tmp%elev,tmp%elev,delimited,7,7,weather_wgn,tmp(i)%elev,tmp%elev parameter from weather-wgn.cli via cli_tmeas,no,m,real,0,999,0,yes
132,CLIMATE,weather-wgn.cli,weather_wgn,iyr,iyr,delimited,8,8,weather_wgn,iyr,iyr parameter from weather-wgn.cli via cli_tmeas,no,none,integer,1,9999,1,yes
133,CLIMATE,weather-wgn.cli,weather_wgn,istep,istep,delimited,9,9,weather_wgn,istep,istep parameter from weather-wgn.cli via cli_tmeas,no,none,string,0,999,default,yes
134,CLIMATE,weather-wgn.cli,weather_wgn,iyr,iyr,delimited,10,10,weather_wgn,iyr,iyr parameter from weather-wgn.cli via cli_tmeas,no,none,integer,1,9999,1,yes
135,CLIMATE,weather-wgn.cli,weather_wgn,istep,istep,delimited,11,11,weather_wgn,istep,istep parameter from weather-wgn.cli via cli_tmeas,no,none,string,0,999,default,yes
136,CLIMATE,weather-wgn.cli,weather_wgn,tempx,tempx,delimited,12,12,weather_wgn,tempx,tempx parameter from weather-wgn.cli via cli_tmeas,no,none,string,0,999,default,yes
137,CLIMATE,weather-wgn.cli,weather_wgn,tempn,tempn,delimited,13,13,weather_wgn,tempn,tempn parameter from weather-wgn.cli via cli_tmeas,no,none,string,0,999,default,yes
138,CLIMATE,weather-wgn.cli,weather_wgn,iyr,iyr,delimited,14,14,weather_wgn,iyr,iyr parameter from weather-wgn.cli via cli_tmeas,no,none,integer,1,9999,1,yes
