input_file,line_in_file,position_in_file,component,old_row,new_row
aquifer.con,2,1,header,"{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '2', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'header', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
aquifer.con,3,10,constit,"{'Line in File': '3', 'Position in File': '10', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'constit', 'Type': 'integer', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '10', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'constit', 'Type': 'integer', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
aquifer.con,3,11,props2,"{'Line in File': '3', 'Position in File': '11', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'props2', 'Type': 'integer', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '11', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'props2', 'Type': 'integer', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
aquifer.con,3,12,ruleset,"{'Line in File': '3', 'Position in File': '12', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'ruleset', 'Type': 'character(len=16)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '12', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'ruleset', 'Type': 'character(len=16)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
aquifer.con,3,3,gis_id,"{'Line in File': '3', 'Position in File': '3', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'gis_id', 'Type': 'integer(kind=8)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '3', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'gis_id', 'Type': 'integer(kind=8)', 'Dimensions': '-', 'Default': '0', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
aquifer.con,3,5,lat,"{'Line in File': '3', 'Position in File': '5', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'lat', 'Type': 'real', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '5', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'lat', 'Type': 'real', 'Dimensions': '-', 'Default': '0.', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
aquifer.con,3,6,long,"{'Line in File': '3', 'Position in File': '6', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'long', 'Type': 'real', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '6', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'long', 'Type': 'real', 'Dimensions': '-', 'Default': '0.', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
aquifer.con,3,9,wst_c,"{'Line in File': '3', 'Position in File': '9', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'wst_c', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}","{'Line in File': '3', 'Position in File': '9', 'Condition': 'if (ncs > 0)', 'Local (Y/N)': 'N', 'TYPE': 'ob', 'Component': 'wst_c', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'ob'}"
atmodep.cli,1,1,titldum,"{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}","{'Line in File': '1', 'Position in File': '1', 'Condition': '-', 'Local (Y/N)': 'Y', 'TYPE': '-', 'Component': 'titldum', 'Type': 'character(len=80)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': '-'}"
atmodep.cli,14,1,name,"{'Line in File': '14', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""yr"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'name', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '-', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}","{'Line in File': '14', 'Position in File': '1', 'Condition': 'if (atmodep_cont%timestep == ""yr"")', 'Local (Y/N)': 'N', 'TYPE': 'atmodep', 'Component': 'name', 'Type': 'character(len=50)', 'Dimensions': '-', 'Default': '""""', 'Units': 'N/A', 'Description': '-', 'Swat_codetype': 'in_cli'}"
