Swat_code_type,Parameter_Count,Primary_Classification,Data_Types
cs_irr_read,6,GENERAL,"real, string"
om_water_init,6,GENERAL,"string, real"
path_ls_swrouting,6,GENERAL,real
nut_orgn,6,NUTRIENT,real
wet_read,6,WETLAND,real
path_apply,6,GENERAL,"real, integer"
path_ls_process,6,GENERAL,real
calsoft_ave_output,6,GENERAL,real
cli_lapse,5,CLIMATE,real
nut_nitvol,5,NUTRIENT,real
pl_tstr,5,GENERAL,real
salt_fert,5,GENERAL,real
wind_ero_control,5,GENERAL,real
aqu_read,5,AQUIFER,real
albedo,5,GENERAL,real
sim_initday,5,GENERAL,real
wallo_treatment,5,GENERAL,real
res_salt,5,RESERVOIR,real
ch_read_init,5,GENERAL,real
erosion_output,5,OUTPUT_FILE,real
header_mgt,5,GENERAL,"string, real"
ch_read_sed,5,GENERAL,real
pl_rootfr,5,GENERAL,real
proc_cond,5,GENERAL,"real, string, integer"
swr_substor,5,GENERAL,real
mgt_harvresidue,5,MANAGEMENT,real
sq_canopyint,5,GENERAL,real
sq_surfst,5,GENERAL,real
sq_dailycn,5,GENERAL,real
layersplit,5,GENERAL,real
pest_parm_read,5,PESTICIDE,real
aqu_read_init,5,AQUIFER,real
cal_parm_read,5,CALIBRATION,real
cs_sed,5,GENERAL,real
manure_parm_read,4,GENERAL,real
pest_washp,4,PESTICIDE,"real, integer"
overland_n_read,4,GENERAL,real
mgt_read_harvops,4,MANAGEMENT,real
mgt_read_irrops,4,MANAGEMENT,real
mgt_read_chemapp,4,MANAGEMENT,real
mgt_read_fireops,4,MANAGEMENT,real
cli_slrgen,4,CLIMATE,real
path_parm_read,4,GENERAL,real
mgt_read_sweepops,4,MANAGEMENT,real
mgt_read_puddle,4,MANAGEMENT,real
sq_daycn,4,GENERAL,real
nut_pminrl,4,NUTRIENT,real
solt_db_read,4,GENERAL,real
pest_apply,4,PESTICIDE,real
scen_read_filtstrip,4,GENERAL,real
scen_read_grwway,4,GENERAL,real
sd_channel_nutrients,4,GENERAL,real
wet_all_initial,4,WETLAND,real
till_parm_read,4,GENERAL,real
topo_read,4,GENERAL,real
varinit,4,GENERAL,real
urban_parm_read,4,GENERAL,real
cli_clgen,4,CLIMATE,real
ch_temp1,4,GENERAL,real
hydrol_read,4,GENERAL,real
hrudb_init,4,GENERAL,real
cons_prac_read,4,GENERAL,real
cntbl_read,4,GENERAL,real
swr_percmacro,4,GENERAL,real
structure_init,4,GENERAL,real
rls_routeaqu,4,GENERAL,real
res_weir_release,4,RESERVOIR,real
regres,4,GENERAL,real
rls_routesurf,4,GENERAL,real
ch_read_hyd,4,GENERAL,real
ch_read_init_cs,4,GENERAL,real
ch_read_nut,4,GENERAL,real
res_read_cs,4,RESERVOIR,real
proc_aqu,4,AQUIFER,real
res_nutrient,4,RESERVOIR,real
